title,abstract,url,publication_year,authors,institutions
Research on the Patent Innovation Performance of University–Industry Collaboration Based on Complex Network Analysis,"Purpose: In order to explore the multiplicative interaction between clustering and reach, as well as their effect on members' knowledge production and patent value, the authors researched university–industry collaboration networks in the emerging interdisciplinary field at a corporate level.Methodology: The authors based their research on a platform of nano-biopharmaceuticals complex network analysis. Furthermore, they built a network to analyze the influence of small-world properties, as well as the impact of the largest component on the patent value of innovation activities at a corporate level. In this article, the authors conduct an empirical investigation of university–industry patent innovation collaboration in the nano-biopharmaceutical field and propose that their research be considered as new evidence in addition to the previously published literature in this field. Given the pre-existing high skew of patent values in relation to registered patents, they used weighted patent value in the measurement of university–industry innovation performance, rather than simple patent counts.Results: The results show that small-world structures have a parabolical influence on patent innovation performance at corporate level.Findings: The findings go beyond previous research results and can contribute to policy formulation and relevant entrepreneurial decisions in the establishment of university–industry collaboration.",https://openalex.org/W2014467589,2014,Jiang MingJi; Ping Zhou,Shanghai Jiao Tong University; Shanghai University of Finance and Economics; Shanghai University of International Business and Economics
Intelligent patent analysis through the use of a neural network,"The main area of this paper concerns the neural methods for mapping scientific and technical information (articles, patents) and for assisting a user in carrying out the complex process of analysing large quantities of such information.In the procedure of information analysis, like in the domain of patent analysis, the complexity of the studied topics and the accuracy of the question to be answered may often lead the analyst to partition his reasoning into viewpoints. Most of the classical information analysis tools can only manage an analysis of the studied domain in a global way. The information analysis tool that will be considered in our study is the MultiSOM tool whose core model represents a significant extension of the classical Kohonen SOM neural model. The MultiSOM neural-based tool introduces the concepts of viewpoints and dynamics into the information analysis with its multi-maps displays and its inter-map communication process. The dynamic information exchange between maps can be exploited by an analyst in order to perform cooperative deduction between several different analyzes that have been performed on the same data.The paper demonstrates the efficiency of a viewpoint-oriented-analysis as compared to a global analysis in the domain of patents. Both objective and subjective quality criteria are taken into account for quality evaluation.The experimental context of the paper is constituted by a patent database of 1000 patents related to oil engineering. The patents structure and the patents field semantics are firstly exploited in order to generate different viewpoints corresponding to different areas of interest for the analysts. In the experiment the selected viewpoints correspond to uses, advantages, patentees, and titles subfields of the patents. The indexing vocabulary of each viewpoint is automatically extracted of its related textual contents in the patents through a full text analysis. The resulting vocabulary is then used to rebuild patents descriptions regarding each viewpoint. These descriptions are finally classified through the unsupervised MultiSOM algorithm resulting in as much different maps as viewpoints. A fifth ""global viewpoint"" which represent the combination of all the specific ones is also considered in order to perform our comparison between a global classification mechanism and a pure viewpoint-oriented classification mechanism.",https://openalex.org/W2107712274,2003,Jean-Charles Lamirel; Shadi Al Shehabi; Martial Hoffmann,Laboratoire Lorrain de Recherche en Informatique et ses Applications; Centre National de la Recherche Scientifique
Structural Evolution and Policy Orientationof China’s Rare Earth Innovation Network:A Social Network Analysis Based onCollaborative Patents,"To clearly describe the structural characteristics of China's rare earth innovation network (REIN), this study used data on China's rare earth patents since 2001 in the Incopat global patent database to analyze the structural characteristics of China's REIN from 2001 to 2020 at the provincial and municipal levels using social network analysis.The study finds the following: (1) The overall characteristics of the network show that the connectivity and diversification of China's REIN is increasing.(2) The network spatial pattern analysis shows that the REIN exhibits a radial spatial pattern centered on Beijing at both the provincial and municipal levels.(3) Research on network nodes shows that the network is dense in eastern regions and sparse in western regions, showing distinct characteristics of coastal and resource agglomeration.Not all regions with high levels of economic development play leading roles in the REIN.Small and medium-sized cities with abundant rare earth resources also play important",https://openalex.org/W4391173616,2024,Feng Hu; Shi Xiao-jiao; Shaobin Wei,Shanghai University of International Business and Economics; Zhejiang Gongshang University; East China Normal University
PATENT COOPERATIVE PATTERNS AND DEVELOPMENT TRENDS OF CHINESE CONSTRUCTION ENTERPRISES: A NETWORK ANALYSIS,"Despite the rapid development of Chinese construction industry, there has been little research effort directed towards exploring patent cooperative patterns and evolution trends of construction enterprises, especially from the perspective of the patent development network. This paper extracts implicit collaborative information and introduces Social Network Analysis (SNA) method to conduct the patentometric analysis based on patent data from the “Top 500 Chinese Construction Enterprises” sourced from PatSnap database. The enterprise-enterprise networks and enterprise-university networks are analyzed quantitatively. The results reveal that: 1) there is a rising trend in the number of patents and patentees; 2) state-owned enterprises play a dominant role in patent development; 3) most of patents are classified as International Patent Classification E04G21; 4) the cooperative relationships are mainly within enterprises and their subsidiaries; 5) when enterprises choose to cooperate with universities, in addition to professional qualification, geographical factors should also be considered. Finally, the development and patent evolution trends are discussed. Some useful suggestions are proposed. The contribution lies in: (a) providing a visualization of the implicit collaboration information of patents in Chinese construction enterprises; (b) revealing cooperative patterns of construction enterprises on patents; and (c) providing enterprises some useful suggestions for patent cooperation.",https://openalex.org/W2922327800,2019,Botao Zhong; Yongjian Hei; Heng Li,Huazhong University of Science and Technology; Hubei Engineering University; Hong Kong Polytechnic University
Efficacy of Chinese patent medicine for primary osteoporosis: A network meta-analysis,"In the treatment of POP, Jintiange capsule and Zuogui Wan are effective CPMs for improving the BMD of the lumbar spine and femoral neck, respectively.",https://openalex.org/W3164477084,2021,Jinlong Zhao; Lingfeng Zeng; Ming Wu,Guangzhou University of Chinese Medicine
The Use of Social Network Analysis in Knowledge Diffusion Research from Patent Data,"Patent documents are an ample source of technical and commercial knowledge and, thus, patent analysis has long been considered a useful vehicle for R&D management and technoeconomic analysis. In terms of techniques for patent analysis, citation analysis has been the most frequently adopted tool. In this research, we note that citation analysis is subject to some crucial drawbacks and propose a network-based analysis, an alternative method for citation analysis. By using an illustrative data set, the overall process of developing patent network is described. The main objective is to understand that the knowledge diffuse between institution and countries. The knowledge diffusion networks are described by using critical node, core network, and network measures analysis .This includes identifying key influential players, the knowledge spillover patterns among them, and the overall knowledge spillover efficiency. The proposed framework is applied to the field of liquid crystal display (LCD), including the patent citation networks of assignee and countries. The analysis shows that the Japan is the most important citation center in LCD research and the LG Phillps LCD, Sharp Samsung, Hitachi, IBM, and AUO are central points of knowledge flow.",https://openalex.org/W2159770779,2009,Chao‐Chih Hsueh; Chun-Chieh Wang,Yuanpei University; National Taiwan University
Graph Representation Learning Towards Patents Network Analysis,"Patent analysis has recently been recognized as a powerful technique for large companies in the world to lend them insight into the age of competition among various industries. This technique is considered a shortcut for developing countries since it can significantly accelerate their technology development. Therefore, as an inevitable process, patent analysis can be utilized to monitor rival companies and diverse industries. In this research, a graph representation learning approach employed to create, analyze and find similarities of the patents data registered in the Iranian Official Gazette. The patent records were scrapped and wrangled through the Iranian Official Gazette portal. Afterward, the key entities were extracted from the scrapped patents dataset to create the Iranian patents graph from scratch based on novel natural language processing and entity resolution technique. Finally, thanks to the utilization of novel graph algorithms and text mining methods, we identified new areas of industry and research from Iranian patent data, which can be used extensively to prevent duplicate patents, familiarity with similar and connected inventions, Awareness of legal entities supporting patents and knowledge of researchers and linked stakeholders in a particular research field.",https://openalex.org/W4214841892,2021,Mohammad Heydari; Babak Teimourpour,Tarbiat Modares University
Mobility of skilled workers and co-invention networks: an anatomy of localized knowledge flows,"This article illustrates the contribution of mobile inventors and networks of inventors to&#13;\nthe diffusion of knowledge across firms and within cities or states. It is based upon an&#13;\noriginal data set on US inventors’ patent applications at the European Patent Office,&#13;\nin the fields of drugs, biotechnology and organic chemistry. The study combines the&#13;\nmethodology originally proposed by Jaffe et al. (1993, Quarterly Journal of Economics,&#13;\n108: 577–598) with tools from social network analysis, in order to evaluate extent of&#13;\nthe localization of knowledge flows, as measured by patent citations. After controlling&#13;\nfor inventors’ mobility and for the resulting co-invention network, the residual effect of&#13;\nspatial proximity on knowledge diffusion is found to be greatly reduced. We argue that&#13;\nthe most fundamental reason why geography matters in constraining the diffusion of&#13;\nknowledge is that mobile researchers are not likely to relocate in space, so that their&#13;\nco-invention network is also localized. In the light of these results, we revisit common&#13;\ninterpretations of localized knowledge flows as externalities.",https://openalex.org/W2061990921,2009,Stefano Breschi; Francesco Lissoni,Bocconi University; University of Brescia
Identifying the structure of knowledge networks in the US mobile ecosystems: patent citation analysis,"With the emergence of smartphones, the paradigm of the mobile ecosystem has changed rapidly. In particular, global mobile firms focus on technological competition when jostling for market position in recognition of the strategic need to secure a strong mobile platform. In this paper, we analyse the network structure of technological knowledge flows in mobile ecosystems using US patent citation information. We find that two subsectors, platform providers and application and software providers, are at the centre of knowledge exchange activity and play a brokerage role as the key knowledge mediator. Then, we categorise mobile firms into five different groups based on the patterns of their network centrality: knowledge keystone players, knowledge-distributing mediators, knowledge-absorbing mediators, catch-up players, and pure knowledge receivers. The categorisation of firms demonstrates that knowledge flows in the mobile industry converge towards a few leading firms, and such patterns are shaping the mobile ecosystem with respect to technological knowledge. The firms categorised as catch-up players have played a brokerage role within their group, while the firms categorised as knowledge keystone players play a brokerage role across different groups.",https://openalex.org/W2273933399,2015,Sanghoon Lee; Wonjoon Kim; Hakyeon Lee,Korea Advanced Institute of Science and Technology; Technology Management Economics Society; Seoul National University of Science and Technology
"Open innovation and network dynamics. An analysis of openness of co-patenting collaborations in Florence, Italy","Purpose The purpose of this paper is to investigate the relational dynamics for innovation and, in particular, the impact of the openness of innovation process on the innovation capacity of organisations in restricted geographical contexts. Design/methodology/approach Through a negative binomial regression, the work analyses how the characteristics of the openness of the organisation’s innovation process in the period 2004-2010 influence the firm’s patent productivity in the following period (2011-2016). Findings The breadth of the open innovation (OI) process, here measured by the number of external network ties that an organisation realises for the realisation of its patents, has a positive effect on patent productivity. The depth of the openness, that is, the intensity of external network ties, has an equally positive influence on the innovative performance. However, after a tipping point, the patent productivity tends to decrease, underlining the costs and problems of OI practices. Research limitations/implications This study considers only patent collaborations in the city of Florence. Therefore, it focusses on codified innovations and on a single territorial case study. Practical implications The results underline the importance of the adoption of OI practices in restricted geographical contexts (such as cities, clusters or industrial districts) but with several limitations. Only collaborating more with others does not foster the organisation’s invention productivity, but different types of evidence are found here. Originality/value An original database has been created, containing all the information on patents realised in the area of Florence from 2004 until 2016, and a social networks analysis was applied to identify the local innovation networks.",https://openalex.org/W3017770666,2020,Francesco Capone; Niccolò Innocenti,University of Florence
Exploration of Technological Collaboration Trends in Ulsan through Patent Network Analysis,"The purpose of this study is to explore the technological cooperation structure of Ulsan through the analysis of the technological cooperation network.This study analyzed the network of patent applicants filed in Ulsan for 10 years from 2012 to 2021.The study conducted frequency analysis of patent networks to identify major applicants and key technology in Ulsan.The result showed patent applications have been rapidly expanding to universities and individuals, which increases the diversity of industries and technologies in the region.Especially, the study investigated co-occurrence patterns of patent applicants over time to examine collaboration trends in Ulsan.The result showed Collaborative Activities of Industry-University-Research have not yet been extensively expanded.Moreover, there is a tendency to collaborate with applicants outside the region rather than within the region.However, the local environment for technical cooperation has improved, and small-scale cooperation has recently been on the rise.In particular, local universities are not only the core of knowledge production and distribution, but also central to cooperative activities for the effective production and distribution of knowledge.",https://openalex.org/W4367316973,2023,Hye Kyeong Kim; Il Young Choi,Kyung Hee University
Biorefinery and sustainability for the production of biofuels and value-added products: A trends analysis based on network and patent analysis,"Biorefineries are modern mechanisms used for producing value-added products and biofuels from different biomass sources. However, a crucial challenge is to achieve a sustainable model for their adequate implementation. Challenges related to technical efficiency and economic feasibility are two of the most relevant problems. Therefore, the present study sought to determine the current trends in basic research and technological development around biorefining and sustainability. We carried out a co-occurrence analysis and a patent analysis using data obtained from the Scopus and Lens databases to provide a general overview of the current state of this area of knowledge. The co-occurrence analysis intends to provide an overview of biorefining and sustainability based on terms associated with these two concepts as a starting point to determine the progress and existing challenges of the field. The results of the patent analysis consisted in identifying the main technological sectors, applicants, and territories where inventions associated with biorefining are registered. The analysis of the information showed that bioeconomy, techno-economic aspects, circular economy, technical issues associated with biomass production, and biofuels represent the focal point of basic research in a wide range of disciplines. Technology development is focused on fermentation, enzymes, and microorganisms, among other areas, which shows the validity of these traditional techniques in addressing the problems faced by the bioeconomy. This scenario shows that developed economies are the driving force behind this area of knowledge and that the PCT system is fundamental for the protection and commercialization of these inventions in places different from where they originated. Furthermore, the challenge lies in learning to work in alternative and complementary technological sectors, beyond microbiology and enzyme applications, in pursuit of the sector’s technical and economic feasibility.",https://openalex.org/W4315754585,2023,Alejandro Barragán-Ocaña; Humberto Merritt; Omar Eduardo Sánchez-Estrada,Instituto Politécnico Nacional; Universidad Autónoma del Estado de México; Universidad del Valle de México
How do new use environments influence a technology's knowledge trajectory? A patent citation network analysis of lithium-ion battery technology,"It is important for policymakers and industry practitioners to understand the factors that influence the evolution of a technology’s knowledge base, i.e., its knowledge trajectory. The literature on the evolution of technologies and their underlying knowledge bases suggests that technological innovation takes place in an incremental and cumulative manner along certain trajectories. We extend this literature by not only focusing on the influence of the design hierarchy on the evolution of knowledge, but also the influence of emergence of use environments. We focus on the case of lithium-ion battery (LIB) technology from 1970 to 2018. We use a dataset of 101,620 patent families to identify and analyze the LIB industry’s core knowledge trajectory. Our results indicate that the emergence of new use environments (in particular, those that require different service characteristics as compared to older use environments) can serve as an important mechanism for increased knowledge generation at the level of the product architecture, increased product innovation, increased technological uncertainty, and increased participation of new actors in the core knowledge trajectory. We discuss implications for practitioners and policy makers interested in understanding factors that influence the relative knowledge positions of firms and nations in complex, multi-purpose technologies.",https://openalex.org/W3179520015,2021,Abhishek Malhotra; Huiting Zhang; Martin Beuse,ETH Zurich; Indian Institute of Technology Delhi
"Technological Convergence Trend through Patent Network Analysis: Focusing on Patent Data in Korea, U.S., Europe, and Japan","???????????? ????????? ????????? ?????? ????????? ??????????????? ???????????? ????????? ????????? ???????????? ??????. ????????? ???????????? ????????? ????????? ?????? ??????????????? ????????? ?????? ?????? ????????? ??????????????? ??????. ????????? ????????? ????????? ??????????????? ????????????, ????????? ??????????????? ??????????????? ?????? ?????? ????????? ??????????????? ??????. ?????? ?????? ?????? ????????? ?????? ???????????? ???????????? ???????????? ??????. ????????? ????????? ?????? ?????? ????????? ??? ??? ?????? ???????????? ?????? ????????? ?????? ????????? ????????? ?????? ?????? ?????? ?????? ????????? ??????????????? ????????????, ???????????? ????????? ????????? ?????? ????????????. ????????? ????????? ???????????? ????????? ??????????????? ??????????????? ????????? ??? ???????????? ???????????? ??????????????? ????????? ????????? ??????????????? ???????????? ??????????????? ????????? ????????? ????????? ????????? ???????????? ??????. ????????? ??? ????????? ??????????????? 10?????? ?????? ????????? ?????????????????? ?????? ????????? ????????? ???????????? ??????????????? ???????????? ????????????, ??? ????????? ??????, ??????, ??????????????? ?????? ?????? ????????? ????????? ????????? ??????. ?????? ?????? ??????, ??????, ??????, ???????????? 2000????????? 2009????????? 10?????? ????????? ?????? ???????????? ?????? 5,000?????? ????????????, UCINET ?????? ????????? ?????? ??????????????? ?????? ???????????? ????????? ???????????????. ??? ????????? ?????? ????????? ?????? ??????????????? ???????????????. ??????, ???????????? ???????????? ????????? ??????????????? ?????? ????????? ?????? ???????????? ???????????????, ????????? ????????? ?????? ????????? ????????????, ??????, ?????????????????? ????????? ???????????????. ??????, ????????? ??????????????? ????????? ?????? ????????? ????????? ????????????, ????????? ??????, ????????? ?????????????????? ????????? ?????????????????? ????????? ??????????????? ???????????? ????????? ??? ?????????.",https://openalex.org/W2474262036,2013,백현미; 김명숙,
Effectiveness and safety of treatments used for the management of patent ductus arteriosus (PDA) in preterm infants: a protocol for a systematic review and network meta-analysis,"Introduction Management of patent ductus arteriosus (PDA) in preterm infants is one of the most controversial topics in neonatal medicine. The availability of different pharmacotherapeutic options often poses a practical challenge to the practising neonatologist as to which one to choose as a therapeutic option. Our objectives are to determine the relative merits of the available pharmacotherapeutic options for the management of PDA. Methods and Analysis We will conduct a systematic review of all randomised controlled trials evaluating the use of intravenous or oral: indomethacin, ibuprofen and acetaminophen for the treatment of PDA in preterm infants. The primary outcome is failure of closure of the PDA. Secondary outcomes are neonatal mortality, need for surgical closure, duration of ventilator support, chronic lung disease, intraventricular haemorrhage, periventricular leukomalacia, necrotising enterocolitis, gastrointestinal bleeding, time to full enteral feeds and oliguria. We will search Medline, Embase and Cochrane Central Register of Controlled Trials (CENTRAL) as well as grey literature resources. Two reviewers will independently screen titles and abstracts, review full texts, extract information, and assess the risk of bias (ROB) and the confidence in the estimate (with Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach). Subgroup analysis according to gestational age, birth weight, different doses of interventions, time of administration of the first dose of the intervention, and echocardiographic definition of haemodynamically significant PDA and ROB are planned. We will perform a Bayesian network meta-analysis to combine the pooled direct and indirect treatment effect estimates for each outcome, if adequate data are available. Ethics and Dissemination The results will help to reduce the uncertainty about the safety and effectiveness of the interventions, will identify knowledge gaps or will encourage further research for other therapeutic options. Therefore, its results will be disseminated through peer-reviewed publications and conference presentations. On the basis of the nature of its design, no ethics approval is necessary for this study. Trial registration number CRD42015015797.",https://openalex.org/W2491414039,2016,Souvik Mitra; Iván D. Flórez; María Tamayo,Dalhousie University; McMaster University; Universidad de Antioquia
Revealing Development Trends in Blockchain-Based 5G Network Technologies through Patent Analysis,"The fifth-generation (5G) network has special communication and security requirements including high reliability, low latency, precise automatic control, secure covert transmission, and evidence traceability. The 5G network combined with blockchain technology just meets this demand, so it is driving a rapidly growing volume of patent applications. This study proposes application scenarios, architecture diagrams, and patent analysis methods for blockchain-based 5G network technologies, beginning with a network architecture using mobile edge computing (MEC) and blockchain as independent platform components to solve MEC load pressure. In the patent analysis, a patent cluster map of blockchain-based 5G networks is proposed to analyze the intersection of technical application fields. The bottleneck period of technological development is presented for leading countries and enterprises in the technological development of blockchain-based 5G network, highlighting relative advantages and disadvantages. Specifically, to extract the core international patent classification (IPC) key technologies and their mutual interrelatedness, we use network topology analysis to establish an IPC network topology diagram through node global and local topology characteristics, thus revealing hotspots of IPC technology research and the characteristics of the technology relationship system. The findings provide a very useful reference for the formulation of government strategy to assist in the implementation and development of blockchain-based 5G network technologies for future smart cities.",https://openalex.org/W3135124515,2021,Fei Gao; De‐Li Chen; Min‐Hang Weng,Putian University
Identifying technological development trajectories in blockchain domain: a patent citation network analysis,"In the past few years, blockchain technology has attracted more and more attention, and it has been widely used in various fields. But there is still a lack of relevant research reports on the innovation path identification of blockchain technology from a patent perspective. By downloading a total of 14,560 patents from Derwent Innovations Index and conducting main path analysis, this paper illuminates the overall picture of the development of blockchain for experts in this domain from a technology perspective. As an objective and quantitative network-based method, main path analysis identifies important patent, structural backbone and development trajectories in the blockchain development. This provides a reference for the scientific communities to understand the current state of blockchain technology, thereby illuminating future research.",https://openalex.org/W3127015369,2021,Dejian Yu; Tianxing Pan,Nanjing Audit University
The study for logistics technology trends by the method of patent network analysis and Word2Vec,"최근 인공지능(AI) 및 사물인터넷, 빅데이터 등 활용한 기술이 발전함에 따라 산업 간의 경계가 사라지고 기술의 한계를 극복하기 위한 동종 및 이종 기술을 융합하는 혁신이 곳곳에서 일어나고 있다. 그중에서도 물류는 고객의 주문에서부터 배송까지의 과정을 다루는 영역으로 IT, 자동화, 예측, 운송, 창고, 저장 등 다양한 분야의 산업 기술들과의 융합이 일어나며 발전하고 있다. 민간 기업 및 정부 조직은 물류산업 기술변화의 흐름을 연구하기 위한 방법으로 전문가 인터뷰 및 문헌조사 방식을 활용하고 있으나 리서치 및 문헌 정보만으로 물류산업 기술변화의 흐름을 파악하기에는 역부족인 실정으로 생각된다. 따라서 본 연구는 기술혁신의 중요한 지표인 특허정보를 활용하여 국내 물류 기술변화의 동태적 흐름이 어떠한 방향으로 변화하고 있는지 분석해 보고자 한다. 이를 위해 2001~2020年 국내에서 출원된 물류 특허 데이터 3,019건을 수집하여, 국제특허분류(IPC)체계를 활용한 네트워크 동시 분류 분석 및 Word2Vec분석을 실시하였다. 본 연구를 통하여 국내 물류산업은 하역, 운송, 보관과 같은 전통적인 물류 영역뿐만 아니라, 구매, 판매, 서비스 분야와의 기술 융합이 매우 밀접하고 중요한 것으로 확인되었으며, 역직구(CBT), 클라우드, 자동화 분야와 기술 융합이 활발해질 것으로 예측된다. 본 연구로 물류 기술 전략을 추진하고자 하는 기업의 실무 담당자 및 정부 R&D 사업을 진행하고자 하는 정책 담당자에게 기술 동향 참고에 실질적인 도움을 줄 수 있을 것으로 기대한다.",https://openalex.org/W4301585525,2022,In-Bo Hwang; Song Sang-Hwa,
The role of funding source for commercializing university patents: Network analysis on technology &amp;#x2014; Industry linkage patterns,"Although the formulation of technology policies focusing on university is a topic that has been well-discussed in academia, more analytic researches have not yet been developed. Especially, the characteristics and source of R&D funding take critical roles for academic researches to be commercialized. This study aims to investigate the differences depending on R&D funding sources - private or governmental - and to formulate the research policy based on empirical results. From a qualitative perspective, we visualize two-mode networks by linking patent and industry codes. From a quantitative perspective, we conduct ANOVA using centrality indices calculated from the network graphs. Overall, we found idiosyncratic patterns in the technology (patent) - industry networks. However, we only observed marginal differences between the two groups. Furthermore, results of the ANOVA showed a difference in closeness centrality between the two groups. We suggest the policy directions which emphasize interdisciplinary researches and strengthen technology's accessibility to industry.",https://openalex.org/W2006217775,2012,Yongrae Cho; Sanghoon Lee; Wonjoon Kim,Korea Advanced Institute of Science and Technology; Technology Management Economics Society
